event_date,avg_ai_sentiment,num_ai_articles,avg_nvda_relevance
2024-05-22 14:18:55,0.7096,1,0.0
2024-05-29 00:00:00,0.9287,1,0.0
2024-12-29 07:00:00,-0.7581,1,0.0
2024-12-31 03:53:28,0.9545,1,0.0
2024-12-31 23:59:59,0.719895652173913,23,0.0896956956521739
2025-01-06 05:57:29,0.9792,1,0.629491
2025-01-06 09:00:00,0.7184,1,0.550253
2025-01-07 05:22:22,0.7351,1,0.0
2025-01-07 06:32:13,0.8225,1,0.0
2025-01-09 05:35:05,0.4939,1,0.0
2025-01-10 21:53:00,0.9468,1,0.0
2025-01-13 06:15:49,0.8442,1,0.970168
2025-01-20 00:00:00,0.37410000000000004,3,0.2681983333333333
2025-02-14 04:01:32,0.7579,1,0.625088
2025-02-17 04:37:57,0.955,1,0.710006
2025-02-18 04:01:32,0.8126,1,0.572463
2025-02-21 05:13:40,0.4588,1,0.622181
2025-02-24 03:58:51,-0.2732,1,0.629976
2025-02-25 05:03:26,0.9042,1,0.748831
2025-02-25 05:08:23,0.9081,1,0.646886
2025-02-26 09:17:00,0.9372,1,0.623128
2025-02-26 11:12:00,0.9477,1,0.645777
2025-02-28 00:00:00,0.3612,1,0.62541
2025-03-03 15:38:00,0.8074,1,0.64857
2025-03-03 16:51:36,0.8934,1,0.602498
2025-03-05 11:58:00,0.5423,1,0.634703
2025-03-06 00:09:52,0.9287,1,0.627946
2025-03-06 03:43:00,0.9081,1,0.577836
2025-04-02 17:22:00,0.34,1,0.0
2025-04-03 11:52:21,0.8555,1,0.611982
2025-04-03 20:09:40,0.0,1,0.0
2025-04-04 10:40:00,-0.7003,1,0.744839
2025-04-08 01:58:08,0.8402,1,0.0
2025-04-09 00:00:00,0.0,1,0.0
2025-04-09 01:58:08,0.7351,1,0.0
2025-04-11 14:02:00,0.88845,2,0.0
2025-04-16 07:31:00,0.9393,1,0.0
2025-04-18 01:51:33,0.9287,1,0.0
2025-04-22 01:59:52,0.9726,1,0.0
2025-04-23 02:16:19,0.4936,1,0.742403
2025-04-25 02:24:16,0.836,1,0.0
2025-04-25 04:51:57,0.7783,1,0.0
2025-04-25 18:52:09,0.8834,1,0.0
2025-04-26 02:28:29,-0.2023,1,0.0
2025-04-28 01:51:13,0.936,1,0.0
2025-04-30 01:51:29,0.9723,1,0.0
2025-04-30 02:25:07,0.4939,1,0.0
2025-05-03 11:44:00,0.8442,1,0.0
2025-05-04 07:02:00,0.7096,1,0.0
2025-05-06 00:16:11,0.9595,1,0.0
2025-05-06 22:20:00,0.5132,1,0.0
2025-05-06 23:49:11,0.9413,1,0.0
2025-05-07 00:30:54,0.886,1,0.0
2025-05-07 17:40:42,0.5267,1,0.0
2025-11-08 04:42:24,0.9678,1,0.627866
2025-11-08 05:21:03,0.0516,1,0.0
2025-11-08 08:26:00,0.9485,1,0.0
2025-11-08 09:30:00,0.8225,1,0.72553
2025-11-08 21:09:55,0.9022,1,0.61142
2025-11-09 08:38:47,0.9217,1,0.0
2025-11-09 20:08:49,0.9246,1,0.0
2025-11-10 08:46:35,-0.5106,1,0.0
2025-11-10 12:45:55,0.6705,1,0.0
2025-11-10 12:45:57,0.9403,1,0.0
2025-11-10 16:30:00,0.91,1,0.0
2025-11-10 16:38:44,0.8625,1,0.0
2025-11-10 16:46:42,0.7096,1,0.0
2025-11-10 18:13:00,0.9371,1,0.0
2025-11-10 20:58:00,0.4588,1,0.579825
2025-11-10 21:46:10,0.4588,1,0.0
2025-11-11 17:23:00,0.891,1,0.843753
2025-11-11 22:46:31,0.9577,1,0.0
2025-11-12 06:09:19,0.5859,1,0.0
2025-11-12 16:14:49,0.743,1,0.0
2025-11-12 20:09:35,0.3597,1,0.737177
2025-11-13 15:51:47,-0.3612,1,0.0
2025-11-14 06:09:21,0.7902,1,0.0
2025-11-14 20:21:48,0.2732,1,0.628468
2025-11-14 22:21:49,0.5106,1,0.0
